,train_f1,test_f1
logreg_df_base,0.6078203639179249,0.5731132075471699
logreg_base,0.6031872509960159,0.5865724381625442
logreg_weight,0.6407711936489935,0.6286672254819783
logreg_up,0.7795933641012848,0.6335299073294018
logreg_down,0.7817047817047816,0.6212624584717608
logreg_smote,0.7895127380657928,0.6323777403035414
logreg_tomek,0.6661602734523357,0.6191489361702128
logreg_base_lasso,0.6031872509960159,0.5882352941176471
logreg_weight_lasso,0.6394557823129253,0.6257359125315392
logreg_up_lasso,0.7801171047713966,0.6258389261744967
logreg_down_lasso,0.7806228373702422,0.6222961730449252
logreg_smote_lasso,0.7900531980700235,0.6301600673967988
logreg_tomek_lasso,0.6664130848231266,0.6212765957446807
logreg_up_lasso_imp,0.7794245858761988,0.6309623430962342
logreg_weight_ridge_imp,0.6411781365052392,0.6307821698906644
