,train_acc,train_prec,train_rec,train_f1,train_auc,test_acc,test_prec,test_rec,test_f1,test_auc
logreg_base,0.8125355046392728,0.6855575868372943,0.5372492836676218,0.6024096385542169,0.7243517975609666,0.80465644520159,0.6738544474393531,0.5285412262156448,0.5924170616113744,0.7172985634183814
logreg_weight,0.7598939594773717,0.5305635148042025,0.7958452722063037,0.6366762177650429,0.7714104095909253,0.7495741056218058,0.5225352112676056,0.7843551797040169,0.6272189349112426,0.7605782109700209
logreg_up,0.7802551875241654,0.7596917890681435,0.8169342309684101,0.7872738615096693,0.7804198996771741,0.7669114804793197,0.7507082152974505,0.8085430968726163,0.7785530664708041,0.7663405139535495
logreg_down,0.786300392436675,0.7698996655518394,0.8186344238975818,0.7935194760427438,0.7861962384341166,0.772192513368984,0.7582644628099173,0.7926565874730022,0.7750791974656812,0.7723876157703995
logreg_smote,0.8548761609907121,0.8690635900187819,0.8356553147574819,0.8520320925950282,0.8548761609907121,0.7887563884156729,0.5982905982905983,0.603448275862069,0.6008583690987124,0.7292491957567862
logreg_tomek,0.8182004930156122,0.7195945945945946,0.606405693950178,0.6581691772885284,0.7552675307752622,0.794434980124929,0.6108695652173913,0.6056034482758621,0.6082251082251083,0.7337963270677691
logreg_base_lasso,0.8140503692482485,0.6854838709677419,0.5479942693409742,0.6090764331210191,0.7288233894967419,0.8023850085178875,0.6657824933687002,0.5306553911205074,0.5905882352941176,0.7164146520819928
logreg_weight_lasso,0.7574323044877864,0.5271867612293144,0.7987106017191977,0.6351466818570208,0.7706551721594702,0.7495741056218058,0.5222841225626741,0.7928118393234672,0.6297229219143576,0.7632537457486901
logreg_up_lasso,0.7805129527000902,0.7598074608904933,0.8174520973588814,0.7875764001496818,0.7806788328724096,0.766524932354078,0.7501769285208776,0.8085430968726163,0.7782672540381791,0.765948664423769
logreg_down_lasso,0.7859436318230467,0.7690253671562083,0.8193456614509246,0.7933884297520661,0.7858360375973306,0.7754010695187166,0.7619047619047619,0.7948164146868251,0.7780126849894291,0.7755861734451074
logreg_smote_lasso,0.8544891640866873,0.8689581095596133,0.8348813209494325,0.8515789473684211,0.8544891640866874,0.7876206700738216,0.5961538461538461,0.6012931034482759,0.5987124463519313,0.7277861045383245
logreg_tomek_lasso,0.8200493015612161,0.7176954732510288,0.6206405693950178,0.6656488549618319,0.7607967501898565,0.7967064168086314,0.6152173913043478,0.6099137931034483,0.6125541125541126,0.7367225095046925
